view,prot_dim,comp_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
ecfp,8421,1024,842,5,0.13695043963216894,32,512,512,adagrad,0.3174656341411263,0.011345649239125951,True,0.03315765399440124,False,0.005421605644664171,0.17856604852500213,0.7236584290744597,-0.10134665884797817
ecfp,8421,1024,"[3074, 3768]",5,0.2710120701983128,128,512,512,sgd,0.0009253183502214668,0.00021166727155123976,True,0.09755655755123398,False,0.003120156590595998,0.003743760967000983,0.00010783611137007606,-0.10060941916278654
ecfp,8421,1024,"[429, 1310]",5,0.034698410408518385,64,512,512,adam,0.10636128378784918,0.0002812517802156541,False,0.05237692147912267,False,0.06199624208394931,0.35599647948866525,0.34755453637465844,-0.09521684594260409
ecfp,8421,1024,"[987, 622]",5,0.2436724821378769,128,512,512,adadelta,0.018781175513912323,0.0016225489802460958,True,0.054081864247936,False,0.0002727192594704537,0.009593280668959207,0.000853775562596442,-0.09459528876620445
ecfp,8421,1024,"[3875, 2001]",5,0.12708299568011625,64,512,512,rmsprop,0.00693351880229463,0.0005924904042899661,True,0.1869433555634354,False,0.05148749822573621,0.1723878729605682,0.2980496510496199,-0.0933631873979837
ecfp,8421,1024,"[2289, 3534, 3668]",5,0.3631244766604131,128,512,512,adagrad,0.00036291343876698886,0.004018557868115633,False,0.0019797191018934594,True,0.06012024043179144,0.023747046283529548,0.03366418236127843,-0.08770270396977933
ecfp,8421,1024,"[807, 1051, 2816, 2385]",5,0.010985813916506416,32,512,512,adadelta,0.036890724596271275,0.031359605246045495,False,0.02518857685678555,False,0.0014725320311976945,0.21104715721235656,0.05080049530746684,-0.08705812674950718
ecfp,8421,1024,842,5,0.13695043963216894,32,512,512,adagrad,0.3174656341411263,0.011345649239125951,True,0.03315765399440124,False,0.005421605644664171,0.17856604852500213,0.7236584290744597,-0.08536353588383988
ecfp,8421,1024,"[3074, 3768]",5,0.2710120701983128,128,512,512,sgd,0.0009253183502214668,0.00021166727155123976,True,0.09755655755123398,False,0.003120156590595998,0.003743760967000983,0.00010783611137007606,-0.08068791294095709
ecfp,8421,1024,"[429, 1310]",5,0.034698410408518385,64,512,512,adam,0.10636128378784918,0.0002812517802156541,False,0.05237692147912267,False,0.06199624208394931,0.35599647948866525,0.34755453637465844,-0.07869267643734573
