prot_dim,comp_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__sgd__weight_decay,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__sgd__lr,optimizer__adam__weight_decay,optimizer__adam__lr,optimizer__adam__amsgrad,optimizer__adadelta__lr,optimizer__adadelta__weight_decay,optimizer__adadelta__rho,optimizer__adagrad__lr,optimizer__adagrad__lr_decay,optimizer__adagrad__weight_decay,optimizer__adamax__lr,optimizer__adamax__weight_decay,optimizer__rmsprop__lr,optimizer__rmsprop__weight_decay,optimizer__rmsprop__momentum,optimizer__rmsprop__centered,score
8421,1024,"[2558, 3368, 4186, 649]",6,0.020724811418746977,256,512,512,adamax,0.0004348552542348029,True,0.0025946493784560396,0.0012869321891944465,0.2688506390557013,0.00029255416038209643,True,0.0002930016509448764,0.0025907721941379374,0.0007126342508865923,0.0006394349682120863,0.22525366243681658,0.5614491980665893,0.002831704778543441,0.04477181081835022,0.09081623300171077,0.30237012873294855,0.0003651667800026264,False,0.05569250753722583
8421,1024,"[4126, 1088, 966]",6,0.0240064010963637,512,512,512,adam,0.008671132516492513,False,0.1265441494713609,0.01775911217611631,0.0009187370095184569,0.0003091917603779932,True,0.00027908453419518947,0.03588680845582097,0.0007124199224842706,0.00015583346381964,0.3197848317852785,0.0002950813651298975,0.001303188455533292,0.0008038646236103789,0.0006048099655620689,0.08927636099925862,0.0016597553057273447,False,0.2903607726525507
8421,1024,"[4664, 2039]",8,0.02232015419203485,256,512,512,adam,0.0698436464919939,True,0.015080895680044481,0.0044637093787130155,0.07617809264960115,0.015321858140712416,False,0.004633268980794839,0.0001682897402971772,0.007866024083298243,0.0037205713136772766,0.007543933526047385,0.04164826847446506,0.22449407139214156,0.8599215608583435,0.12935106482965006,0.005845006055671416,0.776544164863826,True,0.01729206318691783
8421,1024,[1719],2,0.2327539197009871,32,512,512,adamax,0.03765170277661189,True,0.0027542375667037604,0.0007517073254612683,0.0053124985732716555,0.5762674141556497,True,0.00010273322534280288,0.09582065080073168,0.02248648988435191,0.012126453705994732,0.00012074245077459222,0.26426662406490226,0.06421578341787854,0.0040662300866932235,0.001092831168855323,0.0008405390242076482,0.00026818164347334496,True,-0.3767912106678168
8421,1024,"[983, 3604, 3604, 4908]",4,0.9875031433643544,512,512,512,adamax,0.08695865195683625,True,0.09569727256454927,0.001104752243582743,0.0011011571665508698,0.0005064311390237699,True,0.09292358757279451,0.003783583062553531,0.06372505069737726,0.0006736767630478318,0.33441993624202104,0.049485711067384884,0.7046846571010639,0.016527075254228907,0.27530086523781017,0.00012861846034861702,0.03776099148712244,False,-0.6471149157123129
8421,1024,[1609],2,0.016840060611758995,256,512,512,rmsprop,0.0003405183053343549,False,0.3229761151913537,0.00014446561740269462,0.01926534077420236,0.05008789957368374,False,0.0076391797229033356,0.013046712064411025,0.03058548789976491,0.025795916577009022,0.009518511776508549,0.0031081232065089427,0.21765210822478728,0.004757485913126597,0.00017777742320209682,0.00012545218005785325,0.00018486425094884745,True,0.16845497475487559
8421,1024,"[2717, 4049, 1796]",4,0.031188257737010144,256,512,512,adadelta,0.09777310171467966,True,0.03758005296268013,0.0947871062815125,0.09872003516541551,0.05372658842830205,False,0.0022550298489876592,0.8036844298698798,0.004928558887553483,0.004721990855207132,0.00021034737840791676,0.11852693697516903,0.671086652494582,0.00016482914265486212,0.005580273820067049,0.38360950348072886,0.04957792383203149,False,0.06783714752978992
8421,1024,"[3759, 1684]",8,0.016517248075493283,512,512,512,adadelta,0.0007037190872064754,True,0.05450810583706702,0.02061927444218327,0.04194153375605208,0.43406385511459955,True,0.2924404683756917,0.00024199440489257028,0.1884287252743054,0.0005024530740845203,0.0010209333839684355,0.0002733521079419216,0.015419718592152416,0.4878750655846754,0.7246754735170287,0.03150514653970964,0.0021789418379287656,True,0.23149366724679457
8421,1024,"[1156, 1659]",4,0.967048224325641,256,512,512,adadelta,0.7262675917985282,True,0.00403561675069049,0.0019431814330546045,0.0005839692975274925,0.06953366758331136,False,0.10580989603768094,0.00040122678783610866,0.05381425816034596,0.0029840963837294257,0.11238979500419859,0.0016762493456319264,0.020829533548646886,0.00035758249305372654,0.0002812727015754728,0.005615779591027657,0.001839859329773465,False,-0.5064162527125995
8421,1024,"[3671, 4714]",2,0.01615066278414643,64,512,512,rmsprop,0.061771875439540526,True,0.00035401760474336447,0.01225855488153054,0.06562349906864406,0.773245771455621,True,0.0024848229724729392,0.3565512833938749,0.00847428346207136,0.28320992999179445,0.002418114946050902,0.001133819606043329,0.0006232178274777174,0.0006712853646537171,0.0003080270273514902,0.000357337532402007,0.0005747149604498182,False,0.1635243864970247
